date,discharge_cfs
1/1/1990,9.3
1/2/1990,9.7
1/3/1990,13
1/4/1990,13
1/5/1990,12
1/6/1990,11
1/7/1990,5030
1/8/1990,5200
1/9/1990,2290
1/10/1990,1110
1/11/1990,539
1/12/1990,739
1/13/1990,1700
1/14/1990,1100
1/15/1990,615
1/16/1990,418
1/17/1990,307
1/18/1990,229
1/19/1990,183
1/20/1990,147
1/21/1990,121
1/22/1990,106
1/23/1990,93
1/24/1990,82
1/25/1990,75
1/26/1990,70
1/27/1990,67
1/28/1990,58
1/29/1990,56
1/30/1990,697
1/31/1990,678
2/1/1990,786
2/2/1990,880
2/3/1990,1130
2/4/1990,1170
2/5/1990,815
2/6/1990,904
2/7/1990,569
2/8/1990,449
2/9/1990,442
2/10/1990,344
2/11/1990,279
2/12/1990,236
2/13/1990,194
2/14/1990,165
2/15/1990,150
2/16/1990,1380
2/17/1990,1090
2/18/1990,791
2/19/1990,635
2/20/1990,528
2/21/1990,456
2/22/1990,464
2/23/1990,407
2/24/1990,341
2/25/1990,286
2/26/1990,241
2/27/1990,205
2/28/1990,179
3/1/1990,158
3/2/1990,260
3/3/1990,505
3/4/1990,797
3/5/1990,868
3/6/1990,550
3/7/1990,394
3/8/1990,336
3/9/1990,276
3/10/1990,489
3/11/1990,543
3/12/1990,422
3/13/1990,322
3/14/1990,526
3/15/1990,596
3/16/1990,432
3/17/1990,339
3/18/1990,287
3/19/1990,245
3/20/1990,209
3/21/1990,184
3/22/1990,166
3/23/1990,147
3/24/1990,121
3/25/1990,107
3/26/1990,96
3/27/1990,89
3/28/1990,82
3/29/1990,75
3/30/1990,70
3/31/1990,64
4/1/1990,59
4/2/1990,55
4/3/1990,51
4/4/1990,49
4/5/1990,46
4/6/1990,43
4/7/1990,41
4/8/1990,41
4/9/1990,41
4/10/1990,39
4/11/1990,37
4/12/1990,36
4/13/1990,34
4/14/1990,33
4/15/1990,32
4/16/1990,32
4/17/1990,31
4/18/1990,31
4/19/1990,30
4/20/1990,30
4/21/1990,30
4/22/1990,30
4/23/1990,41
4/24/1990,56
4/25/1990,40
4/26/1990,34
4/27/1990,31
4/28/1990,28
4/29/1990,26
4/30/1990,25
5/1/1990,24
5/2/1990,23
5/3/1990,22
5/4/1990,21
5/5/1990,19
5/6/1990,19
5/7/1990,18
5/8/1990,17
5/9/1990,16
5/10/1990,16
5/11/1990,16
5/12/1990,15
5/13/1990,15
5/14/1990,14
5/15/1990,13
5/16/1990,12
5/17/1990,12
5/18/1990,11
5/19/1990,12
5/20/1990,32
5/21/1990,51
5/22/1990,1080
5/23/1990,811
5/24/1990,450
5/25/1990,309
5/26/1990,659
5/27/1990,4270
5/28/1990,1970
5/29/1990,1100
5/30/1990,1550
5/31/1990,1750
6/1/1990,1210
6/2/1990,840
6/3/1990,629
6/4/1990,518
6/5/1990,442
6/6/1990,380
6/7/1990,302
6/8/1990,250
6/9/1990,215
6/10/1990,170
6/11/1990,150
6/12/1990,122
6/13/1990,100
6/14/1990,87
6/15/1990,73
6/16/1990,62
6/17/1990,53
6/18/1990,44
6/19/1990,39
6/20/1990,33
6/21/1990,30
6/22/1990,26
6/23/1990,24
6/24/1990,24
6/25/1990,23
6/26/1990,21
6/27/1990,19
6/28/1990,19
6/29/1990,19
6/30/1990,19
7/1/1990,18
7/2/1990,17
7/3/1990,16
7/4/1990,16
7/5/1990,16
7/6/1990,17
