date	discharge_csf
1/1/1990	75
1/2/1990	85
1/3/1990	84
1/4/1990	80
1/5/1990	78
1/6/1990	81
1/7/1990	5840
1/8/1990	9980
1/9/1990	4020
1/10/1990	1860
1/11/1990	1310
1/12/1990	1270
1/13/1990	2140
1/14/1990	1600
1/15/1990	1240
1/16/1990	1030
1/17/1990	855
1/18/1990	726
1/19/1990	618
1/20/1990	525
1/21/1990	461
1/22/1990	415
1/23/1990	377
1/24/1990	345
1/25/1990	320
1/26/1990	306
1/27/1990	278
1/28/1990	259
1/29/1990	257
1/30/1990	737
1/31/1990	953
2/1/1990	976
2/2/1990	1310
2/3/1990	1420
2/4/1990	1680
2/5/1990	1390
2/6/1990	1610
2/7/1990	1230
2/8/1990	1130
2/9/1990	1110
2/10/1990	968
2/11/1990	865
2/12/1990	778
2/13/1990	692
2/14/1990	603
2/15/1990	565
2/16/1990	1590
2/17/1990	1430
2/18/1990	1240
2/19/1990	1110
2/20/1990	989
2/21/1990	918
2/22/1990	949
2/23/1990	888
2/24/1990	802
2/25/1990	722
2/26/1990	634
2/27/1990	553
2/28/1990	496
3/1/1990	453
3/2/1990	533
3/3/1990	895
3/4/1990	1070
3/5/1990	1260
3/6/1990	1000
3/7/1990	872
3/8/1990	793
3/9/1990	700
3/10/1990	934
3/11/1990	993
3/12/1990	874
3/13/1990	782
3/14/1990	914
3/15/1990	1020
3/16/1990	896
3/17/1990	809
3/18/1990	743
3/19/1990	679
3/20/1990	604
3/21/1990	546
3/22/1990	501
3/23/1990	462
3/24/1990	429
3/25/1990	400
3/26/1990	373
3/27/1990	352
3/28/1990	333
3/29/1990	313
3/30/1990	298
3/31/1990	283
4/1/1990	271
4/2/1990	260
4/3/1990	249
4/4/1990	240
4/5/1990	231
4/6/1990	224
4/7/1990	221
4/8/1990	219
4/9/1990	213
4/10/1990	203
4/11/1990	197
4/12/1990	189
4/13/1990	183
4/14/1990	178
4/15/1990	173
4/16/1990	173
4/17/1990	170
4/18/1990	166
4/19/1990	161
4/20/1990	161
4/21/1990	158
4/22/1990	167
4/23/1990	231
4/24/1990	223
4/25/1990	181
4/26/1990	163
4/27/1990	152
4/28/1990	144
4/29/1990	137
4/30/1990	135
5/1/1990	129
5/2/1990	124
5/3/1990	120
5/4/1990	115
5/5/1990	109
5/6/1990	105
5/7/1990	102
5/8/1990	100
5/9/1990	95
5/10/1990	83
5/11/1990	83
5/12/1990	83
5/13/1990	82
5/14/1990	80
5/15/1990	78
5/16/1990	77
5/17/1990	75
5/18/1990	74
5/19/1990	80
5/20/1990	213
5/21/1990	195
5/22/1990	1780
5/23/1990	1490
5/24/1990	791
5/25/1990	543
5/26/1990	672
5/27/1990	6570
5/28/1990	3600
5/29/1990	1850
5/30/1990	2450
5/31/1990	3770
6/1/1990	2380
6/2/1990	1680
6/3/1990	1340
6/4/1990	1120
6/5/1990	958
6/6/1990	852
6/7/1990	769
6/8/1990	673
6/9/1990	579
6/10/1990	518
6/11/1990	470
6/12/1990	431
6/13/1990	401
6/14/1990	376
6/15/1990	351
6/16/1990	331
6/17/1990	313
6/18/1990	292
6/19/1990	273
6/20/1990	254
6/21/1990	240
6/22/1990	227
6/23/1990	220
6/24/1990	211
6/25/1990	201
6/26/1990	191
6/27/1990	181
6/28/1990	176
6/29/1990	169
6/30/1990	163
7/1/1990	156
7/2/1990	148
7/3/1990	143
7/4/1990	140
7/5/1990	138
7/6/1990	139
7/7/1990	138
7/8/1990	131
7/9/1990	125
7/10/1990	114
7/11/1990	106
7/12/1990	99
7/13/1990	94
7/14/1990	91
7/15/1990	88
7/16/1990	86
7/17/1990	84
7/18/1990	83
7/19/1990	82
7/20/1990	80
7/21/1990	76
7/22/1990	72
7/23/1990	69
7/24/1990	65
7/25/1990	64
7/26/1990	64
7/27/1990	63
7/28/1990	62
7/29/1990	60
7/30/1990	59
7/31/1990	56
8/1/1990	55
8/2/1990	54
8/3/1990	52
8/4/1990	51
8/5/1990	51
8/6/1990	49
8/7/1990	46
8/8/1990	46
8/9/1990	44
8/10/1990	41
8/11/1990	39
8/12/1990	38
8/13/1990	38
8/14/1990	38
8/15/1990	38
8/16/1990	39
8/17/1990	40
8/18/1990	42
8/19/1990	43
8/20/1990	43
8/21/1990	42
8/22/1990	42
8/23/1990	40
8/24/1990	40
8/25/1990	38
8/26/1990	38
8/27/1990	42
8/28/1990	43
8/29/1990	43
8/30/1990	43
8/31/1990	43
9/1/1990	42
9/2/1990	41
9/3/1990	40
9/4/1990	39
9/5/1990	39
9/6/1990	39
9/7/1990	38
9/8/1990	38
9/9/1990	38
9/10/1990	38
9/11/1990	37
9/12/1990	38
9/13/1990	37
9/14/1990	36
9/15/1990	36
9/16/1990	36
9/17/1990	36
9/18/1990	36
9/19/1990	36
9/20/1990	35
9/21/1990	34
9/22/1990	33
9/23/1990	34
9/24/1990	34
9/25/1990	34
9/26/1990	34
9/27/1990	36
9/28/1990	39
9/29/1990	36
9/30/1990	34
10/1/1990	33
10/2/1990	32
10/3/1990	31
10/4/1990	29
10/5/1990	29
10/6/1990	28
10/7/1990	28
10/8/1990	29
10/9/1990	28
10/10/1990	26
10/11/1990	26
10/12/1990	26
10/13/1990	25
10/14/1990	25
10/15/1990	25
10/16/1990	25
10/17/1990	24
10/18/1990	29
10/19/1990	35
10/20/1990	35
10/21/1990	35
10/22/1990	32
10/23/1990	30
10/24/1990	30
10/25/1990	29
10/26/1990	28
10/27/1990	27
10/28/1990	27
10/29/1990	26
10/30/1990	34
10/31/1990	282
11/1/1990	145
11/2/1990	82
11/3/1990	62
11/4/1990	50
11/5/1990	43
11/6/1990	39
11/7/1990	36
11/8/1990	35
11/9/1990	34
11/10/1990	34
11/11/1990	34
11/12/1990	33
11/13/1990	32
11/14/1990	32
11/15/1990	32
11/16/1990	32
11/17/1990	32
11/18/1990	32
11/19/1990	31
11/20/1990	31
11/21/1990	31
11/22/1990	31
11/23/1990	31
11/24/1990	31
11/25/1990	46
11/26/1990	80
11/27/1990	77
11/28/1990	60
11/29/1990	51
11/30/1990	44
