Datetime [YYYY-MM-DD HH:MM]-8,Local (clock) time,Creek,Staff gauge water level [m],Water level height [m],Discharge [m^3/s],Runoff [ mm / day ],Runoff [ mm / hour ],Method,Reach,Area (cross-section of water) [m^2],Width (wetted channel) [m^2],avg. velocity (m/s),Instrument,Upslope contributing area at staff gauge [ m^2 ],Notes,Q [ft3/s],A [ft^2],W [ft],Avg Velocity [ft/s],Conductivity [microSiemens] ExtechE210,dissolved Oxygen (% L),dissolved Oxygen (mg/L),dO sensor
2015-11-26 14:00,,HANK,0.165,0.19,0.00,0.0,0.00,,Staff gauge,,,,,5249523,,,,,,,,,
2015-11-26 13:00,,DRY,0,0.00,0.00,0.0,0.00,,Staff gauge,,,,,3459518,,,,,,,,,
2015-12-10 14:02,,HANK,0.735,0.82,2.52,62.9,2.62,Wading rod,30 m upstream of Sherwood Rd Bridge,2.09,7.6,,Pygmy + Aquacalc 5000,3459518,we agreed that these were reasonable based on bubble velocities that we tracked,,,,,,,,
2015-12-10 12:17,,HANK,0.735,0.82,0.99,16.3,0.68,Salt dilution (slug),100 m upstream of gauge,,,,Ecosense EC 300A (Thompson lab),5249523,,,,,,,,,
2015-12-10 13:03,,HANK,0.745,0.84,1.23,20.2,0.84,Salt dilution (slug),100 m upstream of gauge,,,,Ecosense EC 300A (Thompson lab),5249523,,,,,,,,,
2015-12-10 16:11,,DRY,0.775,0.78,3.01,75.2,3.13,Wading rod,30 m downstream of road downstream of Marilyn's camp,2.84,5.5,,Pygmy + Aquacalc 5000,3459518,we agreed that these were reasonable based on bubble velocities that we tracked,,,,,,,,
2015-12-30 12:31,,DRY,0.47,0.47,0.22,5.5,0.23,Wading rod,2 m upstream of gauge ,0.95,3.6,,Pygmy + Aquacalc 5000,3459518,we agreed that these were reasonable based on bubble velocities that we tracked,,,,,,,,
2015-12-30 13:15,,HANK,0.525,0.59,0.36,5.9,0.25,Wading rod,30 m upstream of Sherwood Rd Bridge,1.27,8.6,,Pygmy + Aquacalc 5000,5249523,we agreed that these were reasonable based on bubble velocities that we tracked,,,,,,,,
2016-01-05 16:35,,HANK,0.72,0.81,1.80,29.6,1.23,Wading rod,30 m upstream of Sherwood Rd Bridge,1.95,9.0,,Pygmy + Aquacalc 5000,5249523,we agreed that these were reasonable based on bubble velocities that we tracked,,,,,,,,
2016-01-05 14:20,,DRY,0.64,0.64,1.26,31.5,1.31,Wading rod,30 m downstream of road downstream of Marilyn's camp,2.07,5.4,,Pygmy + Aquacalc 5000,3459518,"estimated slightly higher, but not unreasonable",,,,,,,,
2016-01-07 10:47,,HANK,0.615,0.69,0.71,11.7,0.49,Wading rod,20 m downstream of gauge,2.42,6.7,,Pygmy + Aquacalc 5000,5249523,we agreed that these were reasonable based on bubble velocities that we tracked,,,,,,,,
2016-01-07 17:00,,DRY,0.52,0.52,0.39,9.7,0.41,Wading rod,30 m downstream of road downstream of Marilyn's camp,1.49,5.6,,Pygmy + Aquacalc 5000,3459518,we agreed that these were reasonable based on bubble velocities that we tracked,,,,,,,,
2016-01-16 12:30,,DRY,0.62,0.62,0.90,22.5,0.94,Wading rod,30 m downstream of road downstream of Marilyn's camp,1.88,5.3,,Pygmy + Aquacalc 5000,3459518,,,,,,,,,
2016-01-16 14:00,,HANK,0.7,0.79,1.62,26.7,1.11,Wading rod,30 m upstream of Sherwood Rd Bridge,1.79,8.3,,Pygmy + Aquacalc 5000,5249523,"we think this is overestimate, based on laying tape and tracking leaf velocities",,,,,,,,
2016-01-16 14:40,,HANK,0.69,0.77,0.79,13.0,0.54,Wading rod,30 m upstream of Sherwood Rd Bridge,1.54,8.3,,ADV + FlowTracker,5249523,"we think these are correct,based on laying tape and tracking leaf velocities but the sensor was not oriented vertically for the entire transect and was biased towards measuring flows lower in water column therefore inferring less than true mean velolcity (hence underestimate)",,,,,,,,
2016-01-17 12:00,,DRY,1,1.00,5.55,138.7,5.78,Wading rod,Upstream edge of road across creek downstream from Marilyn's camp,5.42,15.2,,ADV + FlowTracker,3459518,Accurate; file D2,196.145,58.3,50,3.364,,,,
2016-01-17 14:30,,DRY,1.27,1.27,10.08,251.7,10.49,Wading rod,Upstream edge of road across creek downstream from Marilyn's camp,7.69,15.8,,ADV + FlowTracker,3459518,"Accurate, file D3. Start time 14:15, stop time 15:00",355.9,82.8,51.9,4.3,,,,
