date,discharge_cfs_outlet,discharge_csf_sfk
1/1/1990,9.3,75
1/2/1990,9.7,85
1/3/1990,13,84
1/4/1990,13,80
1/5/1990,12,78
1/6/1990,11,81
1/7/1990,5030,5840
1/8/1990,5200,9980
1/9/1990,2290,4020
1/10/1990,1110,1860
1/11/1990,539,1310
1/12/1990,739,1270
1/13/1990,1700,2140
1/14/1990,1100,1600
1/15/1990,615,1240
1/16/1990,418,1030
1/17/1990,307,855
1/18/1990,229,726
1/19/1990,183,618
1/20/1990,147,525
1/21/1990,121,461
1/22/1990,106,415
1/23/1990,93,377
1/24/1990,82,345
1/25/1990,75,320
1/26/1990,70,306
1/27/1990,67,278
1/28/1990,58,259
1/29/1990,56,257
1/30/1990,697,737
1/31/1990,678,953
2/1/1990,786,976
2/2/1990,880,1310
2/3/1990,1130,1420
2/4/1990,1170,1680
2/5/1990,815,1390
2/6/1990,904,1610
2/7/1990,569,1230
2/8/1990,449,1130
2/9/1990,442,1110
2/10/1990,344,968
2/11/1990,279,865
2/12/1990,236,778
2/13/1990,194,692
2/14/1990,165,603
2/15/1990,150,565
2/16/1990,1380,1590
2/17/1990,1090,1430
2/18/1990,791,1240
2/19/1990,635,1110
2/20/1990,528,989
2/21/1990,456,918
2/22/1990,464,949
2/23/1990,407,888
2/24/1990,341,802
2/25/1990,286,722
2/26/1990,241,634
2/27/1990,205,553
2/28/1990,179,496
3/1/1990,158,453
3/2/1990,260,533
3/3/1990,505,895
3/4/1990,797,1070
3/5/1990,868,1260
3/6/1990,550,1000
3/7/1990,394,872
3/8/1990,336,793
3/9/1990,276,700
3/10/1990,489,934
3/11/1990,543,993
3/12/1990,422,874
3/13/1990,322,782
3/14/1990,526,914
3/15/1990,596,1020
3/16/1990,432,896
3/17/1990,339,809
3/18/1990,287,743
3/19/1990,245,679
3/20/1990,209,604
3/21/1990,184,546
3/22/1990,166,501
3/23/1990,147,462
3/24/1990,121,429
3/25/1990,107,400
3/26/1990,96,373
3/27/1990,89,352
3/28/1990,82,333
3/29/1990,75,313
3/30/1990,70,298
3/31/1990,64,283
4/1/1990,59,271
4/2/1990,55,260
4/3/1990,51,249
4/4/1990,49,240
4/5/1990,46,231
4/6/1990,43,224
4/7/1990,41,221
4/8/1990,41,219
4/9/1990,41,213
4/10/1990,39,203
4/11/1990,37,197
4/12/1990,36,189
4/13/1990,34,183
4/14/1990,33,178
4/15/1990,32,173
4/16/1990,32,173
4/17/1990,31,170
4/18/1990,31,166
4/19/1990,30,161
4/20/1990,30,161
4/21/1990,30,158
4/22/1990,30,167
4/23/1990,41,231
4/24/1990,56,223
4/25/1990,40,181
4/26/1990,34,163
4/27/1990,31,152
4/28/1990,28,144
4/29/1990,26,137
4/30/1990,25,135
5/1/1990,24,129
5/2/1990,23,124
5/3/1990,22,120
5/4/1990,21,115
5/5/1990,19,109
5/6/1990,19,105
5/7/1990,18,102
5/8/1990,17,100
5/9/1990,16,95
5/10/1990,16,83
5/11/1990,16,83
5/12/1990,15,83
5/13/1990,15,82
5/14/1990,14,80
5/15/1990,13,78
5/16/1990,12,77
5/17/1990,12,75
5/18/1990,11,74
5/19/1990,12,80
5/20/1990,32,213
5/21/1990,51,195
5/22/1990,1080,1780
5/23/1990,811,1490
5/24/1990,450,791
5/25/1990,309,543
5/26/1990,659,672
5/27/1990,4270,6570
5/28/1990,1970,3600
5/29/1990,1100,1850
5/30/1990,1550,2450
5/31/1990,1750,3770
6/1/1990,1210,2380
6/2/1990,840,1680
6/3/1990,629,1340
6/4/1990,518,1120
6/5/1990,442,958
6/6/1990,380,852
6/7/1990,302,769
6/8/1990,250,673
6/9/1990,215,579
6/10/1990,170,518
6/11/1990,150,470
6/12/1990,122,431
6/13/1990,100,401
6/14/1990,87,376
6/15/1990,73,351
